,ingres
0,3.689674934624975
1,4.0886239574542715
2,3.0592355021783018
3,2.933520910111157
4,3.090765598071519
5,3.3661365444846267
6,3.243821073211817
7,2.96611932120769
8,3.2666062515321093
9,3.0064481934308795
10,3.0553800094084353
11,2.941330563188537
12,3.0714757457392134
13,3.239064655375049
14,3.4884190318774255
15,2.998478274676904
16,3.60283757005954
17,3.581244403104229
18,3.0232706516284265
19,2.981182360999372
20,2.990327679519718
21,3.3563585362378276
22,3.839866732739114
23,3.2274865053104285
24,2.9687488338611394
25,3.408367452118983
26,4.093915087579371
27,3.2078565441108777
28,2.9203402739080317
29,3.1519596087691775
30,2.9767801019554105
31,3.0857189271106327
32,3.7506198356001583
33,3.0542919851788555
34,2.9266402466428945
35,2.9898768948957093
36,3.94870319823655
37,2.925650016023881
38,3.4805253789928843
39,2.9312393910874226
40,3.0605185134021853
41,2.9316856961045206
42,3.196922190069572
43,3.579684909587735
44,3.3369194810452174
45,2.9295070992368486
46,3.795255019906807
47,3.519607121696828
48,2.9544911518610433
49,3.241980894067915
50,2.9618914437101007
51,3.247477995319202
52,2.9347778175406214
53,3.219988001836994
54,3.5122221495479655
55,3.4907560490115275
56,3.606599014357105
57,2.9890448712618207
58,3.325318191129645
59,3.144859204246095
60,2.9113927172917182
61,3.2474158851225408
62,3.1965740438225017
63,3.314792558120876
64,3.1467003590035514
65,3.1248028474087617
66,3.032761055130382
67,3.4202165070410326
68,2.9857859377469316
69,3.3038534836031452
70,3.698791075991446
71,3.750085523927848
72,4.075507037850347
73,3.600975871145348
74,3.4242015239362718
75,3.1313940386616186
76,3.0472564412719914
77,3.2521213717417434
78,3.0290348528185214
79,3.6138021141460692
80,3.993687285756442
81,3.322775978432855
82,3.046068763652519
83,3.7871959448167263
84,3.747996343439847
85,2.95869793903464
86,3.199362106558205
87,3.6833898207403384
88,2.9980623297218427
89,3.3868183301159096
90,2.9466925708756335
91,2.9342393870121537
92,3.0989214786160164
93,3.3256785641100786
94,3.23540266361898
95,2.960007168775645
96,2.926909218630587
97,3.1072467873202636
98,3.1907961552710336
99,3.514270308188017
100,2.9594674335419926
101,3.66084972150666
102,3.130945453824174
103,3.412160578820334
104,2.925590526069537
105,2.938511611113585
106,3.046353143342232
107,2.9376953763881035
108,2.940043143479688
109,2.927887263790946
110,3.8954565397900436
111,3.0006974683386765
112,3.4057013158780376
113,3.0858360142800434
114,3.2848444432167807
115,3.000299064661907
116,3.006270966111113
117,3.145459391660594
118,2.9293893153248334
119,3.2742252555999105
120,2.9246191216637643
121,3.081284502075271
122,3.0366659605241253
123,3.584096878226143
124,3.193134379523595
125,2.930068775469051
126,3.0705671461241275
127,3.142712650402885
128,2.9301234834122134
129,3.6806348926769465
130,2.9665835988550726
131,2.9595795481664995
132,2.962874845304196
133,3.583680731370513
134,3.1259709857496736
135,3.155802602201397
136,3.192462004215651
137,3.2420976677151616
138,3.101570383336936
139,3.387460227678221
140,3.710716613769203
141,3.5949870351348365
142,3.17362395001284
143,3.2706116478269855
144,2.9357505085186224
145,3.1734819797030456
146,3.0041604034827567
147,3.689288872748395
148,3.0073031870111704
149,3.129258644647785
150,3.158511844279748
151,2.9274075731362186
152,3.3190443703521635
153,3.1702502160334283
154,2.9300686332983674
155,2.9474818985169557
156,3.05648612602245
157,3.219244554636742
158,3.012667575374184
159,3.11396616302149
160,3.8738873008426515
161,2.9391133513438024
162,3.5770200391883087
163,2.9261916418281997
164,3.308380234151192
165,2.987577146534472
166,2.92615788480496
167,3.608371538608087
168,3.800006372917541
169,3.1141584156945044
170,3.0539951190939014
171,3.1617437143004445
172,3.2974585263864
173,3.31217621121206
174,2.9743699401192973
175,2.9993722883984058
176,3.5586319798125663
177,3.325108592124057
178,3.025799042706899
179,3.4628438992069963
180,3.1577068364184853
181,3.1264223973344922
182,3.879419049915618
183,3.320466323815282
184,3.1309778214880954
185,3.19759287289342
186,3.237280541732769
187,2.9199637205607947
188,2.9590891666614283
189,2.94869536945945
190,3.033008922625482
191,3.698355450403718
192,3.408721764754719
193,3.618522312255774
194,2.9314200026561346
195,3.5299435095702667
196,3.5572413477455016
197,3.5053977787370627
198,3.6502026819951956
199,2.9923704777647613
200,2.9378864002909943
201,3.1635739126611426
202,3.024883058984551
203,3.19552716731238
204,2.9217090993488486
205,2.9333482427363013
206,3.6214537538804317
207,2.92690325381883
208,3.4780877900933302
209,3.1816269023850485
210,3.264488920341009
211,3.3662986374293022
212,3.0892015642296884
213,3.3071510387419663
214,3.1593588357591997
215,3.433837425931497
216,3.5427478331234896
217,3.9832605467784057
218,3.0426773734469794
219,3.2173228547451047
220,3.0913699477789764
221,3.111422632743945
222,2.930632222008889
223,3.435112846517417
224,3.804502151193937
225,3.701396390070899
226,3.8484734071322593
227,3.5807940006634684
228,3.101000632261694
229,3.6942231962347787
230,2.993116114811562
231,3.0586148030742155
232,2.934393248620823
233,3.065999568555138
234,3.0272861172788232
235,3.3304354357865127
236,3.148405946434551
237,3.0570607476730696
238,3.0616209460099015
239,3.162967499528496
240,3.4273690346659422
241,3.414011315006033
242,3.2529750541135876
243,3.165380721239274
244,3.091189782746244
245,3.0959480891212987
246,3.182808989015456
247,3.107114948561496
248,3.408682636382188
249,3.9934683484986917
250,3.276541135537692
251,3.023511116662728
252,3.123458658121832
253,3.19988308326328
254,3.675096853706308
255,3.4082627359150397
256,2.9310109316671773
257,3.431306015658877
258,3.0499214079436747
259,3.287243404755031
260,3.219617179937318
261,3.1243063460865548
262,3.168310046996613
263,3.2891571639050374
264,3.363642256604762
265,3.3468203079451646
266,3.041088943788026
267,3.0786858059317446
268,3.0364881517886375
269,3.1397622639767784
